Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cugenang,Wangunjaya,POSKO RT 02/05,130,45,40,90,2,12,25,8,17,22,7,15,103,63,40,10,7,3,3,2,0,0.6923,0.3,0.0769,0.0385,0.0,2.89
Cugenang,Wangunjaya,Posko4,204,66,100,104,2,14,14,6,8,20,0,20,126,72,54,4,2,2,2,2,0,0.5098,0.1471,0.0196,0.0196,0.0,3.09
Cugenang,Wangunjaya,Ppsko kadu gede,178,58,88,88,4,11,18,7,11,10,6,4,120,62,58,11,5,6,2,5,0,0.4944,0.1854,0.0618,0.0393,0.0,3.07
Cugenang,Wangunjaya,rw.06,300,113,98,202,10,40,20,50,30,50,30,20,113,56,57,18,10,8,0,50,2,0.6733,0.2333,0.06,0.1667,0.0067,2.65
Cugenang,Wangunjaya,Tanjakan rasid,31,6,14,17,0,1,5,3,2,3,1,2,20,8,12,1,0,1,0,0,0,0.5484,0.1935,0.0323,0.0,0.0,5.17
Cugenang,Wangunjaya,Wangunjaya,51,12,26,25,1,3,6,3,30,5,3,2,35,20,15,2,1,1,1,2,0,0.4902,0.1961,0.0392,0.0588,0.0,4.25
Cugenang,Wangunjaya,Yayasan hpg,87,16,50,37,3,6,5,1,4,9,6,3,35,22,13,6,3,3,0,4,0,0.4253,0.1609,0.069,0.046,0.0,5.44
Gekbrong,Cikahuripan,Cihurip,72,17,32,40,5,15,10,4,6,7,3,4,34,16,18,7,3,4,2,3,0,0.5556,0.4167,0.0972,0.0694,0.0,4.24
Gekbrong,Cikancana,Posko bojongsari,1236,380,0,0,18,98,0,0,0,0,0,0,0,0,0,77,36,41,11,61,0,0.0,0.0939,0.0623,0.0583,0.0,3.25
Gekbrong,Cikancana,Posko Cibeleng,408,80,198,210,22,32,30,14,16,28,12,16,252,129,123,43,21,23,10,8,3,0.5147,0.2059,0.1054,0.0441,0.0074,5.1
Gekbrong,Cintaasih,mandandiri,55,55,18,14,6,12,11,8,9,12,14,11,5,11,8,5,4,13,5,12,0,0.2545,0.5273,0.0909,0.3091,0.0,1.0
Gekbrong,Cintaasih,Pos lio,32,11,18,14,1,2,6,2,4,7,5,2,21,12,9,0,0,0,1,3,0,0.4375,0.2812,0.0,0.125,0.0,2.91
Gekbrong,Cintaasih,Pos taneh berem,246,74,143,103,25,6,38,23,15,28,11,17,141,61,8075,12,2,10,5,10,0,0.4187,0.2805,0.0488,0.061,0.0,3.32
Pacet,Ciherang,Pa abuy,300,107,140,160,2,15,12,21,36,13,22,34,118,56,62,6,5,1,3,9,0,0.5333,0.0967,0.02,0.04,0.0,2.8
Pacet,Ciherang,Pos 1 kp baros 03/10,533,168,247,286,20,38,80,45,35,55,20,35,384,183,201,28,8,20,5,57,1,0.5366,0.2589,0.0525,0.1163,0.0019,3.17
Pacet,Ciherang,Pos 1 Kp. Buniaga Neglasari,46,9,22,24,1,5,7,1,6,3,1,2,26,16,10,0,1,1,0,4,0,0.5217,0.2826,0.0,0.087,0.0,5.11
Pacet,Ciherang,Pos 2 Kp. Buniaga Neglasari,46,9,22,24,1,6,10,5,5,6,2,4,43,23,20,0,0,2,0,0,0,0.5217,0.3696,0.0,0.0,0.0,5.11
Pacet,Ciherang,Pos 3 Kp. Buniaga Neglasari,35,13,16,19,1,7,1,0,1,1,0,1,25,12,13,1,1,0,1,1,0,0.5429,0.2571,0.0286,0.0571,0.0,2.69
Pacet,Ciherang,Pos 4 Desa Buniaga Neglasari,83,20,41,42,3,7,13,8,5,6,2,4,46,27,19,3,1,2,0,5,0,0.506,0.2771,0.0361,0.0602,0.0,4.15
Pacet,Ciherang,Pos 5 Kp. Buniaga Neglasari RT.03/07,114,37,57,57,2,8,7,5,3,8,5,3,66,34,32,14,8,6,3,3,0,0.5,0.1491,0.1228,0.0526,0.0,3.08
Pacet,Ciherang,Pos 6 Kp. Buniaga Neglasari,92,35,42,50,2,10,9,5,4,15,8,7,46,21,25,5,3,2,2,3,0,0.5435,0.2283,0.0543,0.0543,0.0,2.63
Pacet,Ciherang,Pos rw.03,290,70,0,0,1,4,9,7,2,5,3,2,124,64,60,11,4,7,0,1,1,0.0,0.0483,0.0379,0.0034,0.0034,4.14
Pacet,Ciherang,Pos.54,140,41,80,70,10,30,55,25,30,55,20,35,78,38,40,2,0,2,0,26,4,0.5,0.6786,0.0143,0.1857,0.0286,3.41
Pacet,Ciherang,Posko 2 Sawala Pak Kades,86,24,48,38,6,11,11,5,6,8,4,4,20,46,26,7,4,3,1,10,0,0.4419,0.3256,0.0814,0.1279,0.0,3.58
Pacet,Cipendawa,pos Romo.2,54,13,32,22,2,3,11,7,4,5,2,3,27,15,12,4,4,0,0,3,0,0.4074,0.2963,0.0741,0.0556,0.0,4.15
Pacet,Cipendawa,Posko Babakan,466,107,205,261,9,38,59,28,31,27,10,17,163,83,80,11,4,7,6,11,0,0.5601,0.2275,0.0236,0.0365,0.0,4.36
Pacet,Ciputri,Babakan Nagrog,424,117,219,205,8,48,77,45,32,51,21,30,180,85,95,13,4,9,6,8,2,0.4835,0.3137,0.0307,0.033,0.0047,3.62
Pacet,Ciputri,posko saronge pabrik rw6,250,225,122,128,7,7,60,13,12,60,32,25,180,93,97,7,4,3,7,4,0,0.512,0.296,0.028,0.044,0.0,1.11
Pacet,Ciputri,SARONGE CEMPAKA RT 02 RW 06,158,51,84,74,5,7,50,25,25,20,10,10,74,158,74,17,8,9,4,5,2,0.4684,0.3924,0.1076,0.057,0.0127,3.1
Pacet,Ciputri,SARONGE RT 02 RW 09,391,120,120,271,32,16,60,28,32,20,12,8,138,263,125,10,2,8,0,30,1,0.6931,0.2762,0.0256,0.0767,0.0026,3.26
Warungkondang,Bunikasih,posko 1 kp warung,157,53,77,85,10,10,17,10,7,16,10,6,100,32,68,9,5,4,2,13,0,0.5414,0.2357,0.0573,0.0955,0.0,2.96
Warungkondang,Bunikasih,posko 2 kp. padalengsar,300,70,140,160,10,32,35,15,20,25,15,5,213,89,124,22,16,6,4,26,0,0.5333,0.2567,0.0733,0.1,0.0,4.29
Warungkondang,Bunikasih,posko 3 kp. padalengsar rt 03/08,250,55,110,140,7,25,25,10,15,16,7,9,188,86,102,14,4,10,3,19,0,0.56,0.228,0.056,0.088,0.0,4.55
Warungkondang,Bunikasih,posko 4 kp. legok,215,76,107,108,8,18,23,13,10,21,11,10,120,60,60,31,12,19,4,18,2,0.5023,0.2279,0.1442,0.1023,0.0093,2.83
Warungkondang,Bunisari,posko 1,148,49,72,76,3,10,26,16,10,5,4,1,99,41,58,11,8,3,0,4,0,0.5135,0.2635,0.0743,0.027,0.0,3.02
Warungkondang,Bunisari,posko 1,83,25,40,43,4,5,10,6,4,9,4,5,12,6,6,7,1,6,0,0,0,0.5181,0.2289,0.0843,0.0,0.0,3.32
Warungkondang,Bunisari,posko 3 kp. buni kasih rt 01/06,37,8,20,17,1,2,8,4,4,5,1,4,13,7,6,3,1,2,0,1,0,0.4595,0.2973,0.0811,0.027,0.0,4.62
Warungkondang,Bunisari,posko 8 kp mandu,129,61,40,47,12,31,22,11,11,28,15,13,98,50,48,10,5,5,2,0,0,0.3643,0.5039,0.0775,0.0155,0.0,2.11
Warungkondang,Bunisari,posko 9 rw 08,265,100,130,135,13,31,77,36,41,21,12,9,184,170,174,15,10,5,0,0,0,0.5094,0.4566,0.0566,0.0,0.0,2.65
Warungkondang,Bunisari,posko kp. bojong,45,27,41,43,2,3,9,1,8,4,2,2,55,22,33,3,1,2,0,0,1,0.9556,0.3111,0.0667,0.0,0.0222,1.67
Warungkondang,Cieundeur,Cieundeur Rt.01,182,56,92,90,2,1,7,46,3,13,7,6,158,78,80,12,5,7,1,2,0,0.4945,0.0549,0.0659,0.0165,0.0,3.25
Warungkondang,Cieundeur,Kp.ciendeur Rt.03/03,342,90,176,166,6,39,8,5,31,15,9,6,263,135,128,13,7,6,4,6,0,0.4854,0.155,0.038,0.0292,0.0,3.8
Warungkondang,Cieundeur,Kp.Cieundeur,182,56,92,90,2,1,7,4,3,13,7,6,158,78,80,2,0,2,1,1,0,0.4945,0.0549,0.011,0.011,0.0,3.25
Warungkondang,Cieundeur,Kp.Cirandu RT.01/03,169,52,82,87,5,28,17,7,10,16,7,9,88,44,44,8,5,3,0,11,0,0.5148,0.2959,0.0473,0.0651,0.0,3.25
Warungkondang,Cikaroya,Kp.cipadabg kalapa RT.04/04,173,56,88,85,7,21,23,13,10,18,11,7,118,57,61,15,8,7,185,18,0,0.4913,0.2948,0.0867,1.1734,0.0,3.09
Warungkondang,Cikaroya,Kp.Cipadangkalapa RT.,107,63,50,57,20,52,14,8,6,11,6,5,52,32,29,25,4,21,1,21,0,0.5327,0.8037,0.2336,0.2056,0.0,1.7
Warungkondang,Cikaroya,Kp.cipadangkalapa RT.01/01,320,87,165,155,6,21,100,47,53,50,27,23,165,85,80,3,2,1,3,18,0,0.4844,0.3969,0.0094,0.0656,0.0,3.68
Warungkondang,Cikaroya,RT.03/06 KP. CIBENDA CIKAROYA,163,58,83,80,0,24,29,17,12,4,2,2,112,60,52,4,1,3,1,5,0,0.4908,0.3252,0.0245,0.0368,0.0,2.81
Warungkondang,Cikaroya,Rt.04/06 Kp. cibenda cikaroya,162,67,92,70,2,10,22,12,10,31,16,15,131,61,70,8,5,3,1,0,0,0.4321,0.2099,0.0494,0.0062,0.0,2.42
Warungkondang,Cisarandi,Cipaku rt 01,36,11,19,17,0,3,3,1,4,4,1,3,21,10,11,3,0,3,0,0,1,0.4722,0.1667,0.0833,0.0,0.0278,3.27
Warungkondang,Cisarandi,Posko 7 cisarqndi,86,35,39,47,2,6,12,7,5,9,7,2,36,19,17,6,2,4,0,3,0,0.5465,0.2326,0.0698,0.0349,0.0,2.46
Warungkondang,Cisarandi,Posko bromob rw 01,100,50,35,75,5,5,9,6,3,6,4,2,7,7,10,1,2,1,2,1,0,0.75,0.19,0.01,0.03,0.0,2.0
Warungkondang,Ciwalen,Posko,321,99,142,179,12,38,52,33,29,68,42,26,250,101,149,10,3,7,1,7,0,0.5576,0.3178,0.0312,0.0249,0.0,3.24
Warungkondang,Ciwalen,Posko 2 bantu kawan,200,70,123,97,10,67,80,30,50,45,20,25,200,100,100,15,8,7,5,15,0,0.485,0.785,0.075,0.1,0.0,2.86
Warungkondang,Jambudipa,Jambudipa,184,60,95,89,1,12,12,7,5,8,4,4,139,73,66,13,7,6,0,0,0,0.4837,0.1359,0.0707,0.0,0.0,3.07
Warungkondang,Jambudipa,Kp.Gentur RT.02/06,1731,360,945,786,15,16,115,56,59,156,81,75,1412,785,627,24,11,13,6,14,0,0.4541,0.0843,0.0139,0.0116,0.0,4.81
Warungkondang,Jambudipa,Lame Kohok,187,47,96,91,2,18,15,8,7,8,4,4,134,73,61,20,11,9,1,6,0,0.4866,0.1872,0.107,0.0374,0.0,3.98
Warungkondang,Jambudipa,Lapang jagaraksa jambudipa,305,156,154,151,1,36,124,64,60,49,24,25,100,50,50,32,16,16,0,24,0,0.4951,0.5279,0.1049,0.0787,0.0,1.96
Warungkondang,Jambudipa,SD Jambudipa 3,202,60,103,99,3,13,99,2,1,17,6,11,68,40,28,5,3,2,3,2,0,0.4901,0.5693,0.0248,0.0248,0.0,3.37
Warungkondang,Sukamulya,Posko Benteng,56,7,23,33,1,1,2,0,2,10,9,1,44,14,30,3,1,2,0,1,1,0.5893,0.0714,0.0536,0.0179,0.0179,8.0
Warungkondang,Sukamulya,Posko rw 05 rt 02,93,22,43,50,9,6,15,11,4,4,4,0,50,15,35,0,0,0,0,6,0,0.5376,0.3226,0.0,0.0645,0.0,4.23
Warungkondang,Sukamulya,Posko sukamulya 3,96,29,32,37,4,13,9,3,6,5,4,1,37,32,32,3,1,2,0,0,0,0.3854,0.2708,0.0312,0.0,0.0,3.31
Warungkondang,Tegallega,Padakati,162,60,0,0,2,14,29,0,0,0,0,0,0,66,0,20,0,0,2,2,0,0.0,0.2778,0.1235,0.0247,0.0,2.7
Warungkondang,Tegallega,Tegalega Haurseah,279,87,149,130,18,400,0,0,0,0,15,0,0,130,90,70,45,25,4,18,2,0.4659,1.4982,0.2509,0.0789,0.0072,3.21
