Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cianjur,Solokpandan,Posko RW 13,252,83,87,95,2,12,15,5,10,9,20,11,89,46,43,161,14,7,4,2,0,0.377,0.1151,0.6389,0.0238,0.0,3.04
Cianjur,Solokpandan,Posko Rw 16,325,86,150,175,10,46,21,10,11,54,24,30,143,70,73,25,12,13,7,10,2,0.5385,0.2369,0.0769,0.0523,0.0062,3.78
Cianjur,Solokpandan,RW 13 RT 01,337,103,160,177,2,5,35,15,20,65,40,25,212,95,117,25,15,10,1,2,2,0.5252,0.1246,0.0742,0.0089,0.0059,3.27
Cianjur,Sukamaju,kp sukamaju,1436,699,796,640,80,168,223,106,117,264,129,135,943,472,471,181,81,100,17,174,1,0.4457,0.328,0.126,0.133,0.0007,2.05
Cugenang,Benjot,Pos Nurul Ittihad,168,20,58,59,1,11,2,1,1,16,10,6,58,26,32,5,2,3,0,1,0,0.3512,0.0833,0.0298,0.006,0.0,8.4
Cugenang,Benjot,Posko awlarang rt 03 rw 04,67,28,37,30,1,3,4,4,0,9,0,9,41,25,16,11,4,7,0,1,0,0.4478,0.1194,0.1642,0.0149,0.0,2.39
Cugenang,Benjot,Posko pabrik,348,111,0,0,0,25,0,0,0,0,0,0,0,0,0,260,0,0,1,0,0,0.0,0.0718,0.7471,0.0029,0.0,3.14
Cugenang,Benjot,Posko sirnagalih,140,61,56,57,3,16,745,7,9,11,7,4,80,40,40,6,2,4,5,4,0,0.4071,5.4571,0.0429,0.0643,0.0,2.3
Cugenang,Cibeureum,Pos Kampung Simpang rt 1 rw 3,1458,435,760,698,17,21,0,0,0,0,0,0,0,0,0,0,0,0,11,42,0,0.4787,0.0261,0.0,0.0364,0.0,3.35
Cugenang,Cibeureum,Pos pengungsian cibereum Rt 1 dan 3 Rw 2,258,65,0,0,6,8,25,10,15,8,4,4,188,95,93,18,9,9,2,9,3,0.0,0.1512,0.0698,0.0426,0.0116,3.97
Cugenang,Cibeureum,Pos pengungsian Rt2 Rw1,275,101,159,116,15,35,75,30,45,39,27,12,564,285,279,55,27,28,7,37,0,0.4218,0.4545,0.2,0.16,0.0,2.72
Cugenang,Cibeureum,Pos RT 1 rw6 desa cibereum,1064,320,548,516,10,21,64,36,28,112,64,48,80,64,16,32,20,12,12,45,0,0.485,0.0893,0.0301,0.0536,0.0,3.32
Cugenang,Cibeureum,Posko Kp.Cibeureum Kaler RT 08,2252,671,1156,1096,44,52,80,56,24,64,32,32,376,200,176,12,24,24,22,94,0,0.4867,0.0782,0.0053,0.0515,0.0,3.36
